,2018-01-01_0,2017-01-01_8,2000-01-01_0,2018-01-01_2,2018-01-01_4,2018-01-01_34,2018-01-01_18,2012-01-01_2,2016-01-01_8,2010-01-01_0,2018-01-01_24,2018-01-01_10,2017-01-01_22,2015-01-01_15,2016-01-01_29,1997-01-01_9,1996-01-01_5,1996-01-01_19,2011-01-01_21,2000-01-01_16
0,der,aif,die,der,der,die,konzernabschluß,der,der,der,die,der,ausländer,der,die,die,kinderzuschuß,eur,erblasser,unterhaltshilfe
1,die,die,der,die,die,der,der,die,die,die,der,die,ausländers,die,der,der,renten,kg,der,der
2,des,der,oder,und,des,marke,die,dienstbezüge,arzneimittel,und,bodenschätze,gesamtgut,abschiebung,versicherer,städtebauliche,sorte,der,der,notar,aufbaudarlehen
3,steuergebiet,finanzholding,des,krankenkassen,lpg,und,des,soldaten,und,des,grundabtretung,vormund,die,des,und,und,bezugszeiten,die,die,die
4,und,ogaw,patentanwalt,des,ist,des,und,des,oder,igv,abfälle,des,der,aktien,flächen,des,abrundungen,steuer,notarkammer,des
5,steuer,und,und,für,dem,kartellbehörde,konzernanhang,grundgehalt,des,oder,und,mündels,asylantrag,aufsichtsrats,bebauungsplan,plangenehmigung,des,gesamtgewicht,testament,ausgleichsamt
6,oder,des,angeklagten,oder,oder,oder,oder,ruhegehaltssatz,biozid,bundestage,aufsuchung,und,asylverfahren,grundkapitals,umlegungsstelle,oder,saar,arbeitslose,erbschaft,rm
7,finanzbehörde,anleger,in,nach,und,nach,genossen,und,in,in,oder,jugendlichen,und,und,ersatzland,flugplatz,zahlbetrag,jahressteuer,notarkammern,ostschäden
8,in,oder,fahrerlaubnis,in,den,in,posten,ruhestand,arzneimitteln,gesundheitsamt,steuergebiet,kindes,oder,oder,enteignung,flugsicherung,die,steuerbefreiung,vermächtnis,schadensbetrag
9,einkommensteuer,bundesanstalt,ist,krankenkasse,in,den,in,in,nach,den,des,vormundschaft,des,aktionäre,bebauungsplans,den,grenzbeträge,nahverkehr,erbe,zonenschäden
10,für,börse,zu,den,das,ist,jahresabschluß,soldat,arzneimittels,approbation,kernanlage,oder,visums,aufsichtsrat,oder,ist,und,des,notarassessoren,endgrundbetrag
11,den,geschäftsleiter,den,entgeltpunkte,vermieter,netzbetreiber,ist,gehaltssätze,für,nach,altbatterien,jugendamt,ausreisefrist,aktionär,des,für,angepaßt,und,notars,ausgleichsfonds
12,steuerlager,sondervermögens,beschuldigten,pflegekassen,nutzer,kwk,den,oder,den,aufzug,altgeräte,gegenvormund,einreise,den,städtebaulichen,nach,unfalljahr,steuerpflicht,des,sparanlagen
13,ist,emittenten,nach,zu,zu,marktmacht,abs,berufssoldaten,stoffe,für,nach,jugendhilfe,asylverfahrens,in,umlegungsplan,straßenbaulast,umzustellende,arbeitslosen,erbteil,grundbetrag
14,nach,feederfonds,angeklagte,von,nach,für,konzernbilanz,ruhegehaltfähig,lebensmittel,das,in,mündel,visum,se,in,zu,nach,für,erbvertrag,reichsmark
15,lohnsteuer,immobilien,verteidiger,pflegekasse,gebäudeeigentum,von,nach,nach,von,zu,bodenschätzen,das,nach,ist,pflanzen,von,zusammentreffen,schadstoffarm,nachlassgericht,und
16,tabakwaren,masterfonds,von,witwerrente,nießbraucher,zu,genossenschaft,dienstherrn,ist,tierärztlichen,für,familiengericht,migration,sicherungsfonds,nach,in,belassende,oder,notarassessor,altsparanlage
17,absetzungen,in,für,beitragszeiten,nicht,das,abschlußprüfer,vorbemerkungen,zu,von,abfällen,ist,ausländern,nach,umlegungsplans,bundessortenamt,belassenden,fahrzeug,erblassers,zinszuschlag
18,steuerabzug,nach,schußwaffen,ist,auf,frequenzen,aufsichtsrats,wehrdienstzeit,das,volksbegehren,von,den,in,aktionären,landschaft,schienenwege,in,in,vorerbe,nach
19,arbeitslohn,verwahrstelle,das,dem,für,dem,zu,für,medizinprodukte,ist,steuer,in,ledigen,zu,sanierung,sortenschutzes,saarlandes,nach,ausgründenden,wohnraumhilfe
20,steuerberater,wertpapiere,nicht,versicherten,hypothek,zeitrang,für,berufssoldat,wirkstoffe,bundesgesetz,nomenklatur,nach,daueraufenthalt,aktiengesetzes,zu,umweltgutachter,rente,vertrauensfrau,oder,oder
21,dem,börsenordnung,abs,versicherte,pachtsache,auf,sind,ruhegehalt,tiere,dem,stoffe,vorbehaltsgut,ausreise,gewinnrücklagen,wild,das,saarland,behinderten,nacherben,sparerschäden
22,umsätze,institut,dem,sozialdaten,mieter,nicht,nicht,den,tieren,himmel,zu,sondergut,passersatz,für,ist,fluglärm,halbwaisen,zu,erbfalls,in
23,im,den,werden,nicht,verfasser,älterem,prinzipal,witwengeld,zubereitungen,ffa,berggesetzes,dem,ist,nicht,den,saatgut,für,rehabilitation,bedachte,den
24,kapitalerträge,von,mit,entgeltpunkten,erbbaurechts,betreiber,dem,ruhegehaltes,dem,volksentscheid,den,zu,einbürgerung,das,bauleitpläne,seelotse,saarländischen,arbeitsamt,vermacht,grundbetrags
25,wirtschaftsjahr,prospekt,gefangenen,sind,von,lizenznehmer,auf,amtszulagen,vormischungen,im,kernbrennstoffe,ehenamen,zurückschiebung,prämie,umlegung,flugplätzen,den,ist,ist,schadensgebiet
26,kaffee,publikums,einer,auf,verleger,patentamt,von,dienstbezügen,nicht,volksbegehrens,ist,rechtspfleger,abgeschoben,sonderprüfer,für,nicht,abs,von,erben,schadensbetrags
27,von,institute,antarktis,das,gläubiger,werden,das,dem,auf,werden,kerntechnische,kind,flüchtlinge,dem,von,schutzbereich,saarlands,den,nacherbe,sparerzuschlag
28,zu,depotbank,gefangene,ersatzkassen,wenn,vertikal,prüfungsverband,ortszuschlag,abs,jugendwohlfahrt,pariser,sparanlage,asyl,abs,vorhaben,werden,damals,pflichtplätze,vermächtnisses,geschädigten
29,branntwein,pfandbriefbank,auf,beitrittsgebiet,dienstbarkeit,im,konzerns,auf,packungsbeilage,abs,betreiber,personensorge,unionsbürger,von,gewässer,dem,überzahlter,fahrzeuge,und,schäden
30,einkünfte,institutsgruppe,eine,bundesausschuss,eine,strom,rückstellung,dienstunfall,werden,auf,radioaktiven,für,grenzbehörde,auf,tiere,flugplatzes,kürzungs,übergangsgeld,dem,grundbeträge
31,bier,für,jugendstrafe,abs,nutzers,sozialgericht,rückstellungen,ist,medizinprodukt,ordner,endlagerung,elterliche,asylantrages,versicherers,umlegungsgebiet,auf,witwerrenten,wertmarken,nachlaßgericht,ostgebieten
32,nicht,crr,taten,rehabilitation,erbbaurecht,vergabekammer,bilanz,laufbahn,tier,gebietsverbände,radioaktiver,vormunds,registerbehörde,kapitalerhöhung,baugesetzbuchs,seelotsen,vollwaisen,bundesanstalt,in,ausgleichsamtes
33,abs,im,im,im,so,abs,mitgliederliste,dienstunfalles,mit,nicht,nicht,erziehung,eingereist,finanzholding,pflanzenarten,luftfahrzeuge,rentenempfänger,arbeitsausfall,inventarfrist,vertriebener
34,das,emittent,beschuldigte,werden,kann,einer,gewinnrücklagen,endgrundgehalt,sind,films,elektro,nicht,für,ausgabebetrag,rückenteignung,sorten,sonderzuschuß,hubraum,den,dem
35,auf,zu,wenn,teilhabe,werkes,sind,lagebericht,zulage,lebensmitteln,volksbefragung,eur,vaterschaft,den,barabfindung,vorkaufsrechts,sortenzulassung,altersfürsorge,fahrzeugen,notarkasse,von
36,brennereien,aktien,fahrlehrer,bundesagentur,verpächter,eine,prüfungsstelle,beamtinnen,apotheken,mit,preußische,betreuers,zu,eigenmittel,sind,luftbeförderung,bundesbeihilfen,auf,notare,für
37,sind,bausparkasse,wird,mit,ein,mit,sonderposten,abs,im,heuerverhältnis,steuerschuldner,annehmenden,von,gefahrerhöhung,biotope,luftfahrer,vervielfältigt,dem,ausschlagung,west
38,steuerzeichen,nicht,patentamts,eine,im,kollektivmarke,geschäftsanteil,stellenzulage,klinische,grundgesetz,rücknahmesystem,eltern,paß,sacheinlagen,werden,sortenschutz,bruttolohn,nicht,für,geschädigte
39,wirtschaftsgut,absatz,bestraft,witwenrente,gentechnischen,gegner,geschäftsjahrs,fachausbildung,europäischen,ausscheider,im,betreuer,abs,aktie,gemeinbedarfs,im,pflegegeld,arbeitsmarkts,bedachten,im
40,hl,instituts,jugendlichen,landesverbände,grundbuch,beträchtliche,wertansatz,im,futtermittel,sind,gesetzsammlung,ehegatten,sicherungshaft,sind,ortsüblich,sind,ungekürzte,im,testaments,sowjetsektor
41,schaumwein,das,bewährungszeit,zur,besteller,zur,geldinstitute,professoren,geflügelfleisch,aufzuges,treibstoffe,gegenvormunds,nicht,im,dem,eisenbahnen,vervielfältigte,abs,pflichtteils,vertreibung
42,reit,satz,verurteilte,bei,pfandgläubiger,beklagten,werden,zu,zur,grundgesetze,das,vermögenssorge,paßersatz,werden,bedarfsträger,plan,kinderzuschüsse,unterhaltsgeld,vorerben,auf
43,werden,börsenhandel,römischen,pflegestufe,werden,vermehrungsgut,im,dienstzeit,eine,eine,zur,pflegeperson,einreisen,bilanzgewinns,baulichen,abs,altershilfe,pflichtplatz,von,sparanlage
44,satz,eu,kriegswaffen,satz,nießbrauch,über,mit,laufbahnen,tierseuche,zur,werden,von,im,mit,im,luftfahrzeugs,vervielfältigen,tageweise,nachlasses,wirtschaftsgut
45,west,europäischen,verurteilten,einer,teilungsplan,arbeitsgerichts,satz,beamtin,prüfnachweise,heimatlose,biokraftstoffe,auf,außenstelle,wenn,naturschutzes,mit,gehaltssumme,arbeitsentgelt,vermachten,ist
46,steuerschuldner,ist,strafe,arbeitsleben,gesamthypothek,kann,genosse,anwärter,schmerzen,bundestages,abs,betreuten,werden,sonderbeschluß,auf,luftfahrt,versicherten,behinderte,miterbe,divisor
47,besteuerung,sondervermögen,zur,krankengeld,hypothekenbrief,wenn,aktivseite,personalakte,sera,finanzhilfen,bergverordnung,vater,wenn,mitbestimmung,förmlich,db,kinderzulagen,das,zu,sparguthaben
48,steuerfrei,spezial,sind,arbeitsentgelt,pächter,arbeitsgericht,abschlussprüfer,waisengeld,einer,infektion,auf,wenn,folgeantrag,eine,nicht,luftaufsicht,oder,sperrzeit,abkömmling,geschädigter
49,vorsteuerabzug,prospekts,überstellung,rente,nutzungsrechts,durch,nachschüsse,ruhestandes,fleisch,koch,bergbaubetrieb,beistandschaft,zurückgeschoben,montan,bauleitplänen,mautgebühr,sind,vertrauensmann,nach,abs
50,anschaffung,handel,hauptverfahrens,rentenwert,pfandrecht,kilowattstunde,geschäftsjahr,das,klinischen,robert,preußischen,abs,ausreisepflicht,über,bodenrichtwerte,eine,vom,angetrieben,bedacht,zuerkennung
51,bei,auf,fahrschule,buches,einer,madrider,treuhandanstalt,von,verkehr,bundeskanzler,berggesetz,ausgleichsrente,das,wahlvorschlag,städtebaulicher,durch,amtsblatt,bis,erbschein,vermögensabgabe
52,steuerklasse,eigenmittel,bewährung,alterskasse,hat,wird,liquidatoren,werden,über,durch,altgeräten,werden,passes,aktionärs,naturschutz,aeq,waisenrenten,zugmaschinen,letztwillige,spareinlagen
53,finanzamt,mit,über,vertragsärzte,mit,netzzugang,aufsichtsrat,überstaatlichen,bei,einer,sind,anzunehmenden,eine,hat,abs,schutzzone,rentner,ccm,das,endgrundbetrags
54,steuerpflichtig,abs,minder,kassenärztliche,ersteher,patentgericht,ertragslage,dienstgrad,bundesinstitut,bundespräsident,dem,jugendamts,einer,sacheinlage,das,über,lastenzuschüsse,werkstatt,pflichtteil,eur
55,gewinnerhöhend,kapitalpuffer,freiheitsstrafe,menschen,durch,absatz,offenlegung,beamter,satz,förderungshilfe,deponie,wohnform,dem,bezugsaktien,bebauungspläne,zur,ist,kubikzentimeter,amtssitz,zinszuschlags
56,ausschüttungen,sind,kann,integrationsamt,eines,diensteanbieter,anhang,grundgehaltes,nebenwirkungen,stimmumschlag,immissionen,genetische,fingerabdrücke,delegierten,bauliche,start,geldleistungen,kraftfahrzeugen,beurkundung,rechnungsjahr
57,anzahlungen,derivate,durch,medizinischen,finder,eeg,verlustrechnung,mit,schadorganismen,über,kombinierten,eine,asylantrags,grundkapital,ortsteile,vertragsgesetz,weiterzuzahlen,über,nacherbfolge,besatzungszone
58,mit,kunden,geldstrafe,auszubildende,wird,offshore,über,bibliothek,pharmazeutische,kapitän,satz,kann,pass,kann,ersatzlands,zugehörigem,satz,mit,geschäftswert,saarländischen
59,eine,bausparverträge,gerichtshofes,absatz,zur,ein,statut,dienstbehörde,absatz,kann,versteuerte,hat,auf,jahresabschluß,planungsverband,wenn,bei,fahrzeugs,nicht,ostschaden
60,angeschafft,markt,bis,übergangsgeld,grundschuld,blindenwaren,eine,nicht,schiedsspruch,bundeskanzlers,bergfreie,unterhalt,passersatzes,aktuar,raumordnung,einer,aus,wertmarke,beschwerte,werden
61,rücklage,dem,anstaltsleiter,leistungsträger,grundbuchs,beweisführer,lageberichts,zulagen,durch,bundesrichter,absatz,ein,lichtbild,ein,tier,kreuzung,zu,werden,erbteile,zonenschaden
62,wenn,kernkapital,gerichtshof,altersrente,grundstück,verhandlung,beginnende,besoldung,zusatzstoffe,bei,mit,zugewinns,bundesgebiet,sachübernahmen,gemeindegebiets,kann,dem,steuersatzes,nachlass,sind
63,steuererklärung,anlegern,angeschuldigten,arbeitslose,mietsache,erneuerbare,gesellschafter,besoldungsrecht,fachinformation,ein,deponien,anrecht,azr,gründungsstock,arten,luftverkehrs,arbeiter,arbeitsentgelts,ausgleichung,wirtschaftsguts
64,steueranmeldung,organisierten,maßregel,modellvorhaben,mietverhältnis,rechtsanwalt,abschreibungen,ruhensregelung,verschreibung,grundgesetzes,durch,junge,bundesagentur,gesellschaft,bepflanzungen,stammzellen,mit,pmk,auf,nicht
65,steuerbefreiung,bedeutenden,ein,wenn,versteigerung,satz,einzahlungen,laufbahngruppe,futtermitteln,bundesgesetze,entsorgung,elternteils,absatz,vorstands,baugebot,vorhabens,ermittelnde,abmeldung,erbfolge,freibeträge
66,betriebsstätte,einer,strafrestes,spitzenverband,abs,endnutzer,haftsumme,bis,stoff,europäischen,ionisierender,jugendliche,mit,gründer,mit,messgerät,von,sind,vermächtnisse,härtefonds
67,sonderausgaben,kreditnehmer,jugendrichter,bis,an,beklagte,umsatzerlöse,endstufe,nr,bundesrate,bergfreien,einer,personalausweis,gründungsprüfer,baugebiete,flugplätze,im,entladestelle,werden,hausratverluste
68,außenprüfung,eine,bei,steigerungszahl,teilfläche,netz,handelsregister,beamten,weintrauben,briefabstimmung,bergschadens,im,zur,kapitalrücklage,enteignenden,schutzbereichs,fremdrenten,äußerlich,so,bis
69,absatz,börsenrat,täters,landwirt,pfandes,hat,vereidigte,witwen,qualitätswein,anklage,kernmaterialien,ehe,bundesamtes,zur,washingtoner,seeamt,artikel,bei,anwaltsnotare,rechnungsjahren
70,sondervermögens,über,hat,über,pfandgläubigers,partei,einer,urlaub,stoffen,wenn,emissionen,genetischen,hat,handelsregister,biotopen,sortenliste,werden,straßenverkehrs,anwachsung,an
71,depotbank,werden,straftaten,an,darlehensgeber,beträchtlicher,auszuweisen,beurlaubung,zubereitung,finanzkraft,eine,güterstand,nachsucht,durch,umweltprüfung,verkehr,jugendwohlfahrt,dm,mißbilligung,zu
72,einer,gemischten,so,mitarbeitende,sind,wasch,ein,einer,diensterfindung,wird,einer,so,aufgehalten,pensionsfonds,bauleitplans,messgeräte,geldleistung,pm,ein,beihilfe
73,versteuernden,wertpapier,patentanwalts,wird,verbraucher,bei,wenn,versetzt,tierversuche,stimmzettel,feld,annehmende,satz,einer,zur,messgeräts,auslandsrenten,wenn,anwaltsnotar,ausgleichsämter
74,betriebstätte,kursmakler,nebenkläger,ambulanten,über,megawatt,als,dienstlichen,einfuhr,eines,festlandsockels,pfleger,asylanträge,satz,durch,bei,witwen,ausweise,miterben,ostgebiete
75,steuersachen,kreditinstitut,todesfolge,arbeitslosen,nacherfüllung,markenabkommen,inventur,hochschullehrer,wird,spenden,schädlichen,ehevertrag,ein,bei,vorkaufsrecht,hat,bundesgesetzbl,wird,amtsausübung,vom
76,steuerlagers,haftenden,höchstmaß,landesverbänden,bodenreform,parteien,bei,dienstort,wirkstoff,vermögensrechte,strahlenschutz,abkömmlingen,eines,abschlußprüfer,geschützten,kreuzungsanlage,erneuter,vom,beschwerten,teilbescheid
77,als,bankgeschäfte,haftbefehl,einzugsstelle,mieters,an,eigenkapital,beamte,gewebe,satz,erdgas,ehezeit,kann,treuhänder,eine,fluggast,umgestellt,antrieb,erbfall,altsparergesetz
78,einkünften,dass,täter,bergleute,staatsbank,eines,prüfer,ein,wenn,heimschaffung,steuerlager,pflegschaft,familiennachzug,aktienregister,enteignet,kreuzungen,an,eine,wenn,weltkriegs
79,an,professionelle,schöffen,als,bodenwert,frequenznutzung,provision,grundgehälter,pfändung,seemannsamt,stoffen,sind,bundesamt,nennbetrag,baulandsachen,montrealer,betrag,arbeitslos,zustatten,vertriebenen
80,zur,an,gesamtstrafe,sie,briefes,bis,rücklagen,ortszuschlages,gläubiger,schwimm,festlandsockel,verfahrenswert,lebensunterhalt,herrschenden,kann,halbmesser,zugrundelegung,arbeitsberatung,wird,hausrat
81,gleichmäßigkeit,übergeordnetes,satz,verletztengeld,darlehensnehmer,jüngerem,befreienden,dienstliche,betäubung,artikel,betriebsplan,mit,bundesgebiets,rückstellung,gemeinde,ein,arbeitsunfälle,zur,gebühr,grundvermögen
82,steueraufsicht,ein,verteidigers,heimbewohner,verkäufer,so,einzelkaufmanns,sind,naturhaushalt,rahmenplan,bodenschatz,letztwillige,fundpapier,eines,bauleitplanung,wird,dieses,beschäftigung,konsularbeamten,mit
83,abziehbaren,großkredite,eines,rentenwerts,frachtführer,grubengas,ingangsetzung,waisengeldes,homöopathische,dieses,verwertung,aufgabenkreises,passpflicht,pensionskassen,grundstück,satz,gilt,berufsleben,konsularbezirk,einheitswert
84,wird,wertpapieren,an,beitragssatz,vormerkung,energien,ausleihungen,stellenzulagen,charge,tierarzt,feldes,jugendarbeit,polizeilichen,geschäftsleiter,gewässers,zugtrassen,übergangsgeld,als,erbteils,härteleistungen
85,bis,zur,hilfsschöffen,renten,werk,kilowatt,bilanzsumme,satz,anmeldestelle,heuer,sammelband,volljährige,wird,einlagen,absatz,linienführung,januar,flächenaufdruck,eine,erben
86,vom,kredite,fahrzeugdaten,ein,verpfänder,rufnummer,zeitwert,dienstunfähig,spendenden,konvention,sondernummer,inobhutnahme,flüchtling,versicherten,lebensstätten,landeflächen,altersgelder,krafträder,amtsenthebung,bei
87,lieferungen,veränderlichem,einem,erwerbsfähigen,hauptschuldner,lizenz,zur,nebentätigkeit,kann,preußen,batterien,dispache,familiärer,vorstand,wenn,seelotsrevier,daß,baugewerbes,ermahnung,aufbaudarlehens
88,lohnsteuerkarte,stimmrechte,schuldspruch,durch,grundbuchamt,markensatzung,aktien,leistungsbezüge,altbanken,an,anlagen,gesamtguts,schengen,so,rechtszustand,luftsportgeräte,unfälle,arbeitsmarkt,ersatzerben,vollwaisen
89,sinne,bausparer,amtsträger,agentur,grundbücher,anwalt,bilanzstichtag,schutzzeit,einzelurkunden,als,oberfläche,mannes,aufenthalts,außenstehenden,vogelarten,wasser,rentenbetrag,gehbehindert,zur,als
90,brennerei,wirtschaftsraum,fahrverbot,publizisten,als,anbieter,buchprüfer,ruhegehalts,soweit,stimmbezirk,unterpositionen,zur,eingebürgert,mehrheitsbesitz,schönheit,eines,arbeitsunfall,fahrten,einer,das
